tbdgd,ksmcbl,thzszbl,tryjzhl,shqk,class
0.044897959,0.929292929,0.062244898,0.514814815,0.034274194,class1
0.070408163,0.747474747,0.091836735,0.559259259,0.034274194,class1
0.070408163,0.878787879,0.062244898,0.985185185,0.034274194,class1
0.070408163,1,0.062244898,0.985185185,0.034274194,class1
0.035714286,0.858585859,0.035714286,0.414814815,0.034576613,class1
0.035714286,0.888888889,0.035714286,0.414814815,0.034576613,class1
0.085714286,0.797979798,0.081632653,0.462962963,0.034576613,class1
0.035714286,0.888888889,0.035714286,0.774074074,0.034576613,class1
0.035714286,0.888888889,0.035714286,0.774074074,0.034576613,class1
0.146938776,0.727272727,0.255102041,0.292592593,0.036290323,class1
0.104081633,0.686868687,0.265306122,0.292592593,0.036290323,class1
0.187755102,0.646464646,0.163265306,0.348148148,0.036290323,class1
0.123469388,0.731313131,0.224489796,0.348148148,0.036290323,class1
0.198061224,0.565656566,0.102040816,0.351851852,0.036290323,class1
0.044897959,0.787878788,0.064285714,0.403703704,0.036290323,class1
0.015306122,0.868686869,0.090816327,0.403703704,0.036290323,class1
0.03877551,0.787878788,0.040816327,0.418518519,0.036290323,class1
0.065306122,0.787878788,0.040816327,0.418518519,0.036290323,class1
0.030612245,0.808080808,0.040816327,0.418518519,0.036290323,class1
0.030612245,0.808080808,0.040816327,0.418518519,0.036290323,class1
0.075510204,0.949494949,0.083673469,0.477777778,0.036290323,class1
0.013265306,0.848484848,0.085714286,0.514814815,0.036290323,class1
0.030612245,0.808080808,0.051020408,0.537037037,0.036290323,class1
0.06122449,0.939393939,0.05,0.551851852,0.036290323,class1
0.015306122,0.868686869,0.090816327,0.592592593,0.036290323,class1
0.015306122,0.868686869,0.090816327,0.592592593,0.036290323,class1
0.075510204,0.949494949,0.083673469,0.6,0.036290323,class1
0.075510204,0.949494949,0.083673469,0.6,0.036290323,class1
0.075510204,0.949494949,0.083673469,0.6,0.036290323,class1
0.013265306,0.848484848,0.085714286,0.637037037,0.036290323,class1
0.013265306,0.848484848,0.085714286,0.637037037,0.036290323,class1
0.030612245,0.808080808,0.040816327,0.688888889,0.036290323,class1
0.030612245,0.96969697,0.040816327,0.688888889,0.036290323,class1
0.044897959,0.787878788,0.064285714,0.714814815,0.036290323,class1
0.044897959,0.787878788,0.064285714,0.714814815,0.036290323,class1
0.044897959,0.787878788,0.064285714,0.714814815,0.036290323,class1
0.186734694,0.595959596,0.153061224,0.325925926,0.036794355,class1
0.244897959,0.737373737,0.214285714,0.32962963,0.036794355,class1
0.030612245,0.878787879,0.084693878,0.385185185,0.036794355,class1
0.030612245,0.808080808,0.010204082,0.474074074,0.036794355,class1
0.030612245,0.949494949,0.010204082,0.474074074,0.036794355,class1
0.030612245,0.949494949,0.081632653,0.477777778,0.036794355,class1
0.030612245,0.949494949,0.075510204,0.514814815,0.036794355,class1
0.030612245,0.929292929,0.010204082,0.525925926,0.036794355,class1
0.07244898,0.777777778,0.051020408,0.537037037,0.036794355,class1
0.030612245,0.929292929,0.051020408,0.537037037,0.036794355,class1
0.030612245,0.929292929,0.051020408,0.537037037,0.036794355,class1
0.07244898,0.939393939,0.051020408,0.537037037,0.036794355,class1
0.030612245,0.949494949,0.051020408,0.537037037,0.036794355,class1
0.030612245,0.929292929,0.07244898,0.625925926,0.036794355,class1
0.071428571,0.848484848,0.066326531,0.67037037,0.036794355,class1
0.065306122,0.919191919,0.010204082,0.7,0.036794355,class1
0.030612245,0.949494949,0.010204082,0.7,0.036794355,class1
0.083673469,1,0.010204082,0.7,0.036794355,class1
0.194897959,0.636363636,0.153061224,0.292592593,0.037298387,class1
0.225510204,0.515151515,0.173469388,0.292592593,0.037298387,class1
0.146938776,0.555555556,0.204081633,0.311111111,0.037298387,class1
0.17755102,0.575757576,0.193877551,0.318518519,0.037298387,class1
0.142857143,0.737373737,0.275510204,0.318518519,0.037298387,class1
0.234693878,0.676767677,0.183673469,0.337037037,0.037298387,class1
0.104081633,0.712121212,0.255102041,0.337037037,0.037298387,class1
0.219387755,0.606060606,0.112244898,0.344444444,0.037298387,class1
0,0.919191919,0.018367347,0.366666667,0.037298387,class1
0,0.949494949,0.010204082,0.385185185,0.037298387,class1
0.051020408,0.929292929,0.081632653,0.396296296,0.037298387,class1
0.051020408,0.929292929,0.081632653,0.396296296,0.037298387,class1
0.067346939,0.545454545,0.085714286,0.407407407,0.037298387,class1
0.067346939,0.96969697,0.085714286,0.407407407,0.037298387,class1
0.067346939,0.96969697,0.085714286,0.407407407,0.037298387,class1
0.071428571,0.818181818,0.06122449,0.414814815,0.037298387,class1
0.062244898,0.757575758,0.075510204,0.414814815,0.037298387,class1
0.071428571,0.818181818,0.081632653,0.418518519,0.037298387,class1
0.071428571,0.818181818,0.081632653,0.418518519,0.037298387,class1
0.071428571,0.909090909,0.081632653,0.418518519,0.037298387,class1
0.040816327,0.818181818,0.051020408,0.437037037,0.037298387,class1
0.040816327,0.838383838,0.040816327,0.440740741,0.037298387,class1
0.051020408,0.909090909,0.075510204,0.444444444,0.037298387,class1
0.039795918,0.777777778,0.041836735,0.459259259,0.037298387,class1
0.039795918,0.787878788,0.041836735,0.459259259,0.037298387,class1
0.039795918,0.787878788,0.041836735,0.459259259,0.037298387,class1
0.065306122,0.919191919,0.044897959,0.462962963,0.037298387,class1
0.020408163,0.96969697,0.030612245,0.477777778,0.037298387,class1
0.054081633,0.929292929,0.065306122,0.481481481,0.037298387,class1
0.051020408,0.777777778,0.082653061,0.488888889,0.037298387,class1
0.071428571,0.787878788,0.067346939,0.496296296,0.037298387,class1
0.083673469,1,0.035714286,0.511111111,0.037298387,class1
0.085714286,0.777777778,0.081632653,0.514814815,0.037298387,class1
0.079591837,0.898989899,0.081632653,0.514814815,0.037298387,class1
0.051020408,0.929292929,0.081632653,0.514814815,0.037298387,class1
0.024489796,0.764646465,0.068367347,0.52962963,0.037298387,class1
0.010204082,0.797979798,0.051020408,0.537037037,0.037298387,class1
0.030612245,0.929292929,0.051020408,0.537037037,0.037298387,class1
0.071428571,0.949494949,0.051020408,0.537037037,0.037298387,class1
0.071428571,0.949494949,0.051020408,0.537037037,0.037298387,class1
0.071428571,0.949494949,0.051020408,0.537037037,0.037298387,class1
0.071428571,0.949494949,0.051020408,0.537037037,0.037298387,class1
0.071428571,0.949494949,0.051020408,0.537037037,0.037298387,class1
0.051020408,0.929292929,0.034693878,0.551851852,0.037298387,class1
0.051020408,0.929292929,0.071428571,0.633333333,0.037298387,class1
0.051020408,0.777777778,0.051020408,0.640740741,0.037298387,class1
0.071428571,0.787878788,0.069387755,0.640740741,0.037298387,class1
0.006122449,0.797979798,0.078571429,0.674074074,0.037298387,class1
0.042857143,0.787878788,0.085714286,0.774074074,0.037298387,class1
0.067346939,0.96969697,0.085714286,0.774074074,0.037298387,class1
0.067346939,0.96969697,0.085714286,0.774074074,0.037298387,class1
0.062244898,0.828282828,0.047959184,1,0.037298387,class1
0.075510204,0.868686869,0.06122449,0.422222222,0.0375,class1
0.021428571,0.797979798,0.018367347,0.444444444,0.0375,class1
0.021428571,0.98989899,0.018367347,0.444444444,0.0375,class1
0.021428571,0.98989899,0.018367347,0.7,0.0375,class1
0.021428571,0.98989899,0.018367347,0.7,0.0375,class1
0.148979592,0.626262626,0.163265306,0.340740741,0.037903226,class1
0.06122449,0.767676768,0.05,0.392592593,0.037903226,class1
0.08877551,0.757575758,0,0.42962963,0.037903226,class1
0.06122449,0.767676768,0,0.42962963,0.037903226,class1
0.06122449,0.767676768,0,0.42962963,0.037903226,class1
0.013265306,0.848484848,0,0.42962963,0.037903226,class1
0.06122449,0.909090909,0,0.42962963,0.037903226,class1
0.085714286,0.757575758,0.055102041,0.440740741,0.037903226,class1
0.085714286,0.818181818,0.055102041,0.440740741,0.037903226,class1
0.036734694,0.949494949,0,0.455555556,0.037903226,class1
